April/Apr.                                                  四月/四月。                                                                                                                  
land(2)                                                     土地(2)                                                                                                                         
learn                                                       學                                                                                                                               
master(1)                                                   碩士(1)                                                                                                                         
matter(1)                                                   事項(1)                                                                                                                         
mean(2)                                                     均值(2)                                                                                                                         
music                                                       音樂                                                                                                                            
most                                                        最多                                                                                                                            
more                                                        更多的                                                                                                                         
morning                                                     早晨                                                                                                                            
match(1)                                                    比賽(1)                                                                                                                         
me                                                          我                                                                                                                               
moment                                                      片刻                                                                                                                            
mommy/momma/mom/mam(m)a/ma/mummy                            mommy/momma/mom/mam(m)a/ma/媽媽                                                                                                 
master(2)                                                   碩士(2)                                                                                                                         
mean(1)                                                     均值(1)                                                                                                                         
money                                                       錢                                                                                                                               
mug                                                         馬克杯                                                                                                                         
moon                                                        月亮                                                                                                                            
mud                                                         泥                                                                                                                               
monkey                                                      猴                                                                                                                               
mail                                                        郵件                                                                                                                            
month                                                       月                                                                                                                               
much                                                        很多                                                                                                                            
must                                                        必須                                                                                                                            
middle                                                      中間                                                                                                                            
mouth                                                       嘴                                                                                                                               
mile                                                        英里                                                                                                                            
market                                                      市場                                                                                                                            
marry                                                       結婚                                                                                                                            
mouse                                                       鼠                                                                                                                               
mountain                                                    山                                                                                                                               
milk                                                        牛奶                                                                                                                            
matter(2)                                                   事項(2)                                                                                                                         
map                                                         地圖                                                                                                                            
mind                                                        頭腦                                                                                                                            
many                                                        許多                                                                                                                            
move(ment)                                                  移動）                                                                                                                         
minute                                                      分鐘                                                                                                                            
make                                                        製作                                                                                                                            
meat                                                        肉                                                                                                                               
maybe                                                       也許                                                                                                                            
my                                                          我的                                                                                                                            
may                                                         可能                                                                                                                            
mother                                                      母親                                                                                                                            
mistake                                                     錯誤                                                                                                                            
meet                                                        遇見                                                                                                                            
movie/motion_picture/film/cinema                            電影/電影/電影/電影院                                                                                                    
miss                                                        錯過                                                                                                                            
mad                                                         瘋狂的                                                                                                                         
machine                                                     機器                                                                                                                            
man                                                         男人                                                                                                                            
notice                                                      注意                                                                                                                            
nothing                                                     沒有什麼                                                                                                                      
now                                                         現在                                                                                                                            
noisy                                                       嘈雜                                                                                                                            
name                                                        姓名                                                                                                                            
near                                                        靠近                                                                                                                            
need                                                        需要                                                                                                                            
never                                                       絕不                                                                                                                            
new                                                         新的                                                                                                                            
news                                                        消息                                                                                                                            
nature                                                      自然                                                                                                                            
newspaper                                                   報紙                                                                                                                            
next                                                        下一個                                                                                                                         
nice                                                        好的                                                                                                                            
nation                                                      國家                                                                                                                            
night                                                       夜晚                                                                                                                            
note                                                        筆記                                                                                                                            
nine                                                        九                                                                                                                               
nineteen                                                    十九                                                                                                                            
ninety                                                      九十                                                                                                                            
no/nope                                                     不/不                                                                                                                           
noise                                                       噪音                                                                                                                            
neck                                                        脖子                                                                                                                            
noon                                                        中午                                                                                                                            
nor                                                         也不                                                                                                                            
north                                                       北                                                                                                                               
nose                                                        鼻子                                                                                                                            
not                                                         不是                                                                                                                            
nurse                                                       護士                                                                                                                            
number                                                      數字                                                                                                                            
open                                                        打開                                                                                                                            
office                                                      辦公室                                                                                                                         
officer                                                     官                                                                                                                               
often                                                       經常                                                                                                                            
outside                                                     外部                                                                                                                            
old                                                         老的                                                                                                                            
on                                                          上                                                                                                                               
once                                                        一次                                                                                                                            
one                                                         一                                                                                                                               
only                                                        只要                                                                                                                            
oil                                                         油                                                                                                                               
or                                                          或者                                                                                                                            
out                                                         出去                                                                                                                            
our(s)                                                      我們的                                                                                                                         
other                                                       其他                                                                                                                            
orange                                                      橙                                                                                                                               
order                                                       命令                                                                                                                            
over                                                        超過                                                                                                                            
off                                                         離開                                                                                                                            
of                                                          的                                                                                                                               
own                                                         自己的                                                                                                                         
o’clock                                                   點鐘                                                                                                                            
ocean                                                       海洋                                                                                                                            
plan                                                        計劃                                                                                                                            
place                                                       地方                                                                                                                            
play                                                        玩                                                                                                                               
poetry                                                      詩歌                                                                                                                            
player                                                      玩家                                                                                                                            
pocket                                                      口袋                                                                                                                            
papa/pop                                                    爸爸/爸爸                                                                                                                     
pencil                                                      鉛筆                                                                                                                            
park(1)                                                     公園(1)                                                                                                                         
pass                                                        經過                                                                                                                            
prove                                                       證明                                                                                                                            
party                                                       派對                                                                                                                            
park(2)                                                     公園(2)                                                                                                                         
part(1)                                                     第1部分）                                                                                                                     
people                                                      人們                                                                                                                            
part(2)                                                     第2部分）                                                                                                                     
pants/trousers                                              褲子/褲子                                                                                                                     
please                                                      請                                                                                                                               
playground                                                  操場                                                                                                                            
parent(s)                                                   父母）                                                                                                                         
pond                                                        池塘                                                                                                                            
put                                                         放                                                                                                                               
possible                                                    可能的                                                                                                                         
page                                                        頁                                                                                                                               
pay(1)(ment)                                                支付(1)(ment)                                                                                                                   
position                                                    位置                                                                                                                            
push                                                        推                                                                                                                               
public                                                      上市                                                                                                                            
popcorn                                                     爆米花                                                                                                                         
pull                                                        拉                                                                                                                               
poor                                                        較差的                                                                                                                         
pool                                                        水池                                                                                                                            
past(2)                                                     過去(2)                                                                                                                         
purple                                                      紫色的                                                                                                                         
past(1)                                                     過去(1)                                                                                                                         
paint                                                       畫                                                                                                                               
purpose                                                     目的                                                                                                                            
policeman/cop                                               警察                                                                                                                            
power                                                       力量                                                                                                                            
police                                                      警察                                                                                                                            
pair                                                        一對                                                                                                                            
practice                                                    實踐                                                                                                                            
point(2)                                                    點(2)                                                                                                                            
point(1)                                                    點(1)                                                                                                                            
pen                                                         筆                                                                                                                               
price                                                       價格                                                                                                                            
pretty(1)                                                   漂亮(1)                                                                                                                         
plant(2)                                                    植物(2)                                                                                                                         
person                                                      人                                                                                                                               
perhaps                                                     也許                                                                                                                            
pretty(2)                                                   漂亮(2)                                                                                                                         
plant(1)                                                    植物(1)                                                                                                                         
prepare                                                     準備                                                                                                                            
paper                                                       紙                                                                                                                               
picture                                                     圖片                                                                                                                            
pet                                                         寵物                                                                                                                            
problem                                                     問題                                                                                                                            
print                                                       打印                                                                                                                            
pie                                                         餡餅                                                                                                                            
pig                                                         豬                                                                                                                               
piece                                                       片                                                                                                                               
piano                                                       鋼琴                                                                                                                            
quiet                                                       安靜的                                                                                                                         
quick                                                       快的                                                                                                                            
quite                                                       相當                                                                                                                            
question                                                    問題                                                                                                                            
queen                                                       女王                                                                                                                            
rope                                                        繩索                                                                                                                            
ride                                                        騎                                                                                                                               
rose                                                        玫瑰                                                                                                                            
ready                                                       準備好                                                                                                                         
roll                                                        卷                                                                                                                               
radio                                                       收音機                                                                                                                         
road                                                        路                                                                                                                               
root                                                        根                                                                                                                               
reach                                                       抵達                                                                                                                            
rock(1)                                                     搖滾(1)                                                                                                                         
rest                                                        休息                                                                                                                            
read                                                        讀                                                                                                                               
rain                                                        雨                                                                                                                               
row(2)                                                      行(2)                                                                                                                            
rice                                                        白飯                                                                                                                            
row(1)                                                      行(1)                                                                                                                            
raise                                                       增加                                                                                                                            
round                                                       圓形的                                                                                                                         
rainbow                                                     彩虹                                                                                                                            
red                                                         紅色的                                                                                                                         
river                                                       河                                                                                                                               
rat                                                         鼠                                                                                                                               
rule                                                        規則                                                                                                                            
return                                                      返回                                                                                                                            
remember                                                    記住                                                                                                                            
run                                                         跑                                                                                                                               
robot                                                       機器人                                                                                                                         
railroad                                                    鐵路                                                                                                                            
rich                                                        富有的                                                                                                                         
ring(1)                                                     戒指(1)                                                                                                                         
race(1)                                                     種族(1)                                                                                                                         
receive                                                     收到                                                                                                                            
report                                                      報告                                                                                                                            
right(2)                                                    正確的                                                                                                                         
room                                                        房間                                                                                                                            
rise                                                        上升                                                                                                                            
roof                                                        屋頂                                                                                                                            
rubber                                                      橡膠                                                                                                                            
race(2)                                                     種族(2)                                                                                                                         
real                                                        真實的                                                                                                                         
rub                                                         擦                                                                                                                               
reason                                                      原因                                                                                                                            
ring(2)                                                     戒指(2)                                                                                                                         
rooster                                                     公雞                                                                                                                            
right(1)                                                    右(1)                                                                                                                            
sad                                                         傷心                                                                                                                            
something                                                   某物                                                                                                                            
side                                                        邊                                                                                                                               
sail                                                        帆                                                                                                                               
sit                                                         坐                                                                                                                               
such                                                        這樣的                                                                                                                         
skill                                                       技能                                                                                                                            
swim                                                        游泳                                                                                                                            
safe(1)                                                     安全(1)                                                                                                                         
sour                                                        酸的                                                                                                                            
space                                                       空間                                                                                                                            
sister                                                      姐姐                                                                                                                            
safe(2)                                                     安全(2)                                                                                                                         
state(ment)(2)                                              狀態(ment)(2)                                                                                                                   
so(2)                                                       所以（2）                                                                                                                     
shark                                                       鯊魚                                                                                                                            
second(2)                                                   第二(2)                                                                                                                         
several                                                     一些                                                                                                                            
sir                                                         先生                                                                                                                            
