Bible/bible                                                 聖經/聖經                                                                                                                     
religion                                                    宗教                                                                                                                            
representative                                              代表                                                                                                                            
remain                                                      保持                                                                                                                            
rag                                                         抹布                                                                                                                            
relief                                                      寬慰                                                                                                                            
rug                                                         小地毯                                                                                                                         
republic                                                    共和國                                                                                                                         
religious                                                   宗教的                                                                                                                         
routine                                                     常規                                                                                                                            
rate                                                        速度                                                                                                                            
request                                                     要求                                                                                                                            
snap                                                        折斷                                                                                                                            
starve                                                      餓死                                                                                                                            
shortly                                                     不久                                                                                                                            
spite                                                       惡意                                                                                                                            
shepherd                                                    牧羊人                                                                                                                         
sufficient                                                  充足的                                                                                                                         
suburb                                                      市郊                                                                                                                            
seek                                                        尋找                                                                                                                            
suggest                                                     建議                                                                                                                            
sexual                                                      性的                                                                                                                            
scientific                                                  科學的                                                                                                                         
splash                                                      濺                                                                                                                               
shrink                                                      收縮                                                                                                                            
sex                                                         性別                                                                                                                            
scarecrow                                                   稻草人                                                                                                                         
spit                                                        吐                                                                                                                               
suffer                                                      遭受                                                                                                                            
sleeve                                                      袖子                                                                                                                            
someday                                                     有一天                                                                                                                         
somehow                                                     不知何故                                                                                                                      
suck                                                        吸                                                                                                                               
strength                                                    力量                                                                                                                            
scoop                                                       舀                                                                                                                               
sexy                                                        性感的                                                                                                                         
ski                                                         滑雪                                                                                                                            
stepchild                                                   繼子                                                                                                                            
seldom                                                      很少                                                                                                                            
sometime                                                    有時                                                                                                                            
somewhat                                                    有些                                                                                                                            
sigh                                                        嘆                                                                                                                               
spoil                                                       破壞                                                                                                                            
scale(s)                                                    秤）                                                                                                                            
sum                                                         和                                                                                                                               
schedule                                                    日程                                                                                                                            
shovel                                                      鏟                                                                                                                               
stepfather                                                  繼父                                                                                                                            
stool                                                       凳子                                                                                                                            
specific                                                    具體的                                                                                                                         
slave                                                       奴隸                                                                                                                            
scarce                                                      稀缺                                                                                                                            
scatter                                                     分散                                                                                                                            
sprain                                                      扭傷                                                                                                                            
scary                                                       害怕                                                                                                                            
saucer                                                      飛碟                                                                                                                            
suitable                                                    合適的                                                                                                                         
slice                                                       片                                                                                                                               
sausage                                                     香腸                                                                                                                            
strategy                                                    戰略                                                                                                                            
solid                                                       堅硬的                                                                                                                         
stale                                                       陳舊                                                                                                                            
superior                                                    優越的                                                                                                                         
slope                                                       坡                                                                                                                               
saving(s)                                                   儲蓄                                                                                                                            
sew                                                         縫                                                                                                                               
stocking(s)                                                 絲襪                                                                                                                            
scarf                                                       圍巾                                                                                                                            
satisfactory                                                滿意的                                                                                                                         
suicide                                                     自殺                                                                                                                            
slippery                                                    滑                                                                                                                               
scholarship                                                 獎學金                                                                                                                         
skip                                                        跳過                                                                                                                            
shorten                                                     縮短                                                                                                                            
spy                                                         間諜                                                                                                                            
seize                                                       搶占                                                                                                                            
scholar                                                     學者                                                                                                                            
skyscraper                                                  摩天大樓                                                                                                                      
summit                                                      首腦                                                                                                                            
summary                                                     概括                                                                                                                            
situation                                                   情況                                                                                                                            
secondary                                                   次要的                                                                                                                         
style                                                       風格                                                                                                                            
spill                                                       灑                                                                                                                               
swell                                                       脹                                                                                                                               
suspicion                                                   懷疑                                                                                                                            
steady                                                      穩定的                                                                                                                         
swift                                                       迅速                                                                                                                            
sack                                                        解僱                                                                                                                            
spin                                                        旋轉                                                                                                                            
suspect                                                     嫌疑犯                                                                                                                         
structure                                                   結構體                                                                                                                         
scrub                                                       擦洗                                                                                                                            
shady                                                       陰涼                                                                                                                            
steep                                                       陡                                                                                                                               
switch                                                      轉變                                                                                                                            
survivor                                                    倖存者                                                                                                                         
stare                                                       盯                                                                                                                               
survival                                                    生存                                                                                                                            
spray                                                       噴                                                                                                                               
screw                                                       擰緊                                                                                                                            
studio                                                      工作室                                                                                                                         
swear                                                       發誓                                                                                                                            
sin                                                         罪                                                                                                                               
shame                                                       恥辱                                                                                                                            
seal(2)                                                     印章(2)                                                                                                                         
stiff                                                       僵硬的                                                                                                                         
stab                                                        刺                                                                                                                               
stuff(1)                                                    東西(1)                                                                                                                         
stuff(2)                                                    東西(2)                                                                                                                         
sincere                                                     真誠                                                                                                                            
survey                                                      民意調查                                                                                                                      
shallow                                                     淺的                                                                                                                            
sticky                                                      黏                                                                                                                               
sweat                                                       流汗                                                                                                                            
similarity                                                  相似                                                                                                                            
seal(1)                                                     印章(1)                                                                                                                         
stubborn                                                    頑固                                                                                                                            
spice                                                       香料                                                                                                                            
sip                                                         啜                                                                                                                               
stable                                                      穩定的                                                                                                                         
stereo                                                      立體聲                                                                                                                         
statue                                                      雕像                                                                                                                            
shiny                                                       閃亮的                                                                                                                         
spade                                                       鏟                                                                                                                               
staff                                                       職員                                                                                                                            
strip(2)                                                    條帶(2)                                                                                                                         
strip(1)                                                    條帶(1)                                                                                                                         
stir                                                        攪拌                                                                                                                            
signal                                                      信號                                                                                                                            
skate                                                       滑冰                                                                                                                            
sprinkle                                                    撒                                                                                                                               
shampoo                                                     洗髮水                                                                                                                         
stitch                                                      縫                                                                                                                               
spaghetti                                                   意大利面                                                                                                                      
security                                                    安全                                                                                                                            
suppose                                                     認為                                                                                                                            
smooth                                                      光滑的                                                                                                                         
separation                                                  分離                                                                                                                            
stormy                                                      風雨如磐                                                                                                                      
stepmother                                                  後媽                                                                                                                            
sorrow                                                      悲哀                                                                                                                            
surround                                                    環繞                                                                                                                            
sword                                                       劍                                                                                                                               
scream                                                      尖叫                                                                                                                            
substance                                                   物質                                                                                                                            
stadium                                                     體育場                                                                                                                         
sake                                                        清酒                                                                                                                            
shadow                                                      陰影                                                                                                                            
sting                                                       刺                                                                                                                               
squeeze                                                     擠                                                                                                                               
shade                                                       陰影                                                                                                                            
sore                                                        瘡                                                                                                                               
system                                                      系統                                                                                                                            
sensitive                                                   敏感的                                                                                                                         
sensible                                                    明智的                                                                                                                         
significant                                                 重要的                                                                                                                         
scout                                                       偵察                                                                                                                            
shave                                                       刮鬍子                                                                                                                         
tide                                                        浪潮                                                                                                                            
transport                                                   運輸                                                                                                                            
tender                                                      投標                                                                                                                            
trail                                                       踪跡                                                                                                                            
thirst                                                      口渴                                                                                                                            
tend                                                        趨向                                                                                                                            
temporary                                                   暫時的                                                                                                                         
twig                                                        枝條                                                                                                                            
technique                                                   技術                                                                                                                            
tag                                                         標籤                                                                                                                            
tutor                                                       導師                                                                                                                            
tropical                                                    熱帶                                                                                                                            
troop                                                       部隊                                                                                                                            
tissue                                                      組織                                                                                                                            
technology                                                  技術                                                                                                                            
tailor                                                      裁縫                                                                                                                            
tobacco                                                     煙草                                                                                                                            
territory                                                   領土                                                                                                                            
tricky                                                      棘手的                                                                                                                         
twin                                                        雙胞胎                                                                                                                         
tribe                                                       部落                                                                                                                            
tighten                                                     緊縮                                                                                                                            
twist                                                       捻                                                                                                                               
tight                                                       緊的                                                                                                                            
trend                                                       趨勢                                                                                                                            
tug                                                         拖船                                                                                                                            
tablet                                                      藥片                                                                                                                            
tourism                                                     旅遊                                                                                                                            
ton                                                         噸                                                                                                                               
tourist                                                     遊客                                                                                                                            
tack                                                        釘                                                                                                                               
tune                                                        調                                                                                                                               
tumble                                                      翻滾                                                                                                                            
tulip                                                       鬱金香                                                                                                                         
timber                                                      木材                                                                                                                            
tow                                                         拖                                                                                                                               
tease                                                       逗                                                                                                                               
tub                                                         浴缸                                                                                                                            
truthful                                                    真實                                                                                                                            
technical                                                   技術的                                                                                                                         
text                                                        文本                                                                                                                            
trunk                                                       樹幹                                                                                                                            
tax                                                         稅                                                                                                                               
typewriter                                                  打字機                                                                                                                         
tray                                                        托盤                                                                                                                            
trace                                                       痕跡                                                                                                                            
tortoise                                                    烏龜                                                                                                                            
toss                                                        折騰                                                                                                                            
temper                                                      脾氣                                                                                                                            
tame                                                        馴服                                                                                                                            
thankful                                                    感恩的                                                                                                                         
tap(1)                                                      點擊(1)                                                                                                                         
traveler                                                    遊客                                                                                                                            
typical                                                     典型的                                                                                                                         
trash                                                       垃圾                                                                                                                            
temperature                                                 溫度                                                                                                                            
trader                                                      商人                                                                                                                            
theory                                                      理論                                                                                                                            
threaten                                                    威脅                                                                                                                            
tremble                                                     顫抖                                                                                                                            
tickle                                                      癢癢                                                                                                                            
threat                                                      威脅                                                                                                                            
tidy                                                        整齊的                                                                                                                         
thread                                                      線                                                                                                                               
universe                                                    宇宙                                                                                                                            
upset                                                       沮喪的                                                                                                                         
union                                                       聯盟                                                                                                                            
unless                                                      除非                                                                                                                            
unite                                                       團結                                                                                                                            
unity                                                       統一                                                                                                                            
verse                                                       詩                                                                                                                               
victim                                                      受害者                                                                                                                         
vice-president                                              副總裁                                                                                                                         
vest                                                        背心                                                                                                                            
visible                                                     可見的                                                                                                                         
valuable                                                    有價值的                                                                                                                      
vary                                                        各不相同                                                                                                                      
