Antarctic/antarctic                                         南極/南極                                                                                                                     
literate                                                    識字的                                                                                                                         
lyric                                                       歌詞                                                                                                                            
longevity                                                   長壽                                                                                                                            
lush                                                        鬱鬱蔥蔥                                                                                                                      
lounge                                                      休息室                                                                                                                         
lure                                                        餌                                                                                                                               
lunatic                                                     瘋子                                                                                                                            
legislative                                                 立法                                                                                                                            
lament                                                      哀嘆                                                                                                                            
legendary                                                   傳奇的                                                                                                                         
layout                                                      佈局                                                                                                                            
layman                                                      外行                                                                                                                            
lava                                                        岩漿                                                                                                                            
mimic                                                       模仿                                                                                                                            
mischievous                                                 惡作劇                                                                                                                         
miller                                                      磨坊主                                                                                                                         
militant                                                    好戰的                                                                                                                         
migration                                                   移民                                                                                                                            
migrate                                                     遷移                                                                                                                            
metropolitan                                                都市的                                                                                                                         
metaphor                                                    隱喻                                                                                                                            
merge                                                       合併                                                                                                                            
merchandise                                                 商品                                                                                                                            
mentality                                                   心理                                                                                                                            
mellow                                                      醇美                                                                                                                            
melancholy                                                  憂鬱的                                                                                                                         
meditation                                                  冥想                                                                                                                            
meditate                                                    幽思                                                                                                                            
medieval                                                    中世紀                                                                                                                         
medication                                                  藥物                                                                                                                            
mechanism                                                   機制                                                                                                                            
mattress                                                    床墊                                                                                                                            
material(ism)(2)                                            物質（主義）（2）                                                                                                         
mastery                                                     精通                                                                                                                            
massacre                                                    屠殺                                                                                                                            
monotonous                                                  單調                                                                                                                            
mythology                                                   神話                                                                                                                            
mute                                                        沉默的                                                                                                                         
municipal                                                   市政的                                                                                                                         
mouthpiece(2)/pokesperson/spokesman/spokeswoman             mouthpiece(2)/pokesperson/發言人/發言人                                                                                     
mouthpiece(1)                                               喉舌(1)                                                                                                                         
mournful                                                    悲哀                                                                                                                            
motto                                                       座右銘                                                                                                                         
morality                                                    道德                                                                                                                            
morale                                                      士氣                                                                                                                            
monotony                                                    單調                                                                                                                            
miniature                                                   微型                                                                                                                            
monopoly                                                    壟斷                                                                                                                            
momentum                                                    勢頭                                                                                                                            
mold(1)                                                     模具(1)                                                                                                                         
modernization                                               現代化                                                                                                                         
mobilize                                                    動員                                                                                                                            
missionary                                                  傳教士                                                                                                                         
mar                                                         馬爾                                                                                                                            
miraculous                                                  神奇                                                                                                                            
minimize                                                    最小化                                                                                                                         
magnitude                                                   震級                                                                                                                            
manuscript                                                  手稿                                                                                                                            
manipulate                                                  操縱                                                                                                                            
malaria                                                     瘧疾                                                                                                                            
nuisance                                                    滋擾                                                                                                                            
newscaster/anchorman/anchorwoman                            新聞播音員/主持人/女主持人                                                                                            
nurture                                                     培育                                                                                                                            
navel                                                       臍                                                                                                                               
nutrient                                                    養分                                                                                                                            
nutrition                                                   營養                                                                                                                            
nutritious                                                  有營養的                                                                                                                      
naval                                                       海軍                                                                                                                            
naturalist                                                  博物學家                                                                                                                      
nationalism                                                 民族主義                                                                                                                      
narrator                                                    敘述者                                                                                                                         
narrative                                                   敘述                                                                                                                            
narrate                                                     敘事                                                                                                                            
neutral                                                     中性的                                                                                                                         
nourish(ment)                                               營養）                                                                                                                         
navigation                                                  導航                                                                                                                            
nomination                                                  提名                                                                                                                            
notorious                                                   臭名昭著                                                                                                                      
negotiation                                                 談判                                                                                                                            
nominee                                                     提名人                                                                                                                         
neon                                                        氖                                                                                                                               
newlywed                                                    新人                                                                                                                            
norm                                                        規範                                                                                                                            
originate                                                   起源                                                                                                                            
overlap                                                     重疊                                                                                                                            
oppress                                                     壓迫                                                                                                                            
outfit                                                      全套服裝                                                                                                                      
oppression                                                  壓迫                                                                                                                            
outbreak                                                    爆發                                                                                                                            
option                                                      選項                                                                                                                            
outlet                                                      出口                                                                                                                            
originality                                                 獨創性                                                                                                                         
organism                                                    生物                                                                                                                            
optional                                                    可選的                                                                                                                         
overturn                                                    顛覆                                                                                                                            
ordeal                                                      考驗                                                                                                                            
orderly                                                     有順序地                                                                                                                      
opposition                                                  反對                                                                                                                            
operational                                                 操作                                                                                                                            
offspring                                                   後代                                                                                                                            
overhead                                                    高架                                                                                                                            
offering                                                    奉獻                                                                                                                            
obscure                                                     朦朧                                                                                                                            
outset                                                      一開始                                                                                                                         
oblige                                                      有義務                                                                                                                         
obligation                                                  義務                                                                                                                            
outright                                                    徹頭徹尾                                                                                                                      
outrageous                                                  離譜的                                                                                                                         
outlaw                                                      取締                                                                                                                            
outrage                                                     暴行                                                                                                                            
outnumber                                                   多於                                                                                                                            
outlook                                                     外表                                                                                                                            
outing                                                      郊遊                                                                                                                            
presidential                                                總統                                                                                                                            
pact                                                        協議                                                                                                                            
pamphlet                                                    小冊子                                                                                                                         
paralyze                                                    癱瘓                                                                                                                            
profound                                                    深刻的                                                                                                                         
proficiency                                                 熟練程度                                                                                                                      
productivity                                                生產率                                                                                                                         
preventive                                                  預防性的                                                                                                                      
presume                                                     假設                                                                                                                            
prestige                                                    聲望                                                                                                                            
progressive                                                 進步                                                                                                                            
presidency                                                  總統職位                                                                                                                      
preside                                                     主持                                                                                                                            
prescription                                                處方                                                                                                                            
pathetic                                                    可憐的                                                                                                                         
patriotic                                                   愛國                                                                                                                            
prescribe                                                   規定                                                                                                                            
peddle                                                      兜售                                                                                                                            
premier                                                     總理                                                                                                                            
prosecute                                                   起訴                                                                                                                            
parliament                                                  議會                                                                                                                            
purity                                                      純度                                                                                                                            
purify                                                      淨化                                                                                                                            
punctual                                                    準時                                                                                                                            
prowl                                                       徘徊                                                                                                                            
provoke                                                     惹                                                                                                                               
provincial                                                  省級                                                                                                                            
prospective                                                 預期                                                                                                                            
prosecution                                                 起訴                                                                                                                            
premature                                                   過早的                                                                                                                         
prose                                                       散文                                                                                                                            
propeller                                                   螺旋槳                                                                                                                         
propel                                                      推進                                                                                                                            
propaganda                                                  宣傳                                                                                                                            
prone                                                       易於                                                                                                                            
projection                                                  投影                                                                                                                            
prohibition                                                 禁令                                                                                                                            
prohibit                                                    禁止                                                                                                                            
pipeline                                                    管道                                                                                                                            
pollutant                                                   污染物                                                                                                                         
poacher                                                     偷獵者                                                                                                                         
poach                                                       偷獵                                                                                                                            
pneumonia                                                   肺炎                                                                                                                            
perspective                                                 看法                                                                                                                            
plight                                                      困境                                                                                                                            
pitcher                                                     投手                                                                                                                            
pesticide                                                   農藥                                                                                                                            
petroleum                                                   石油                                                                                                                            
persistent                                                  執著的                                                                                                                         
petty                                                       小氣                                                                                                                            
pious                                                       虔誠的                                                                                                                         
pharmacist                                                  藥劑師                                                                                                                         
piety                                                       虔誠                                                                                                                            
pierce                                                      刺穿                                                                                                                            
pharmacy                                                    藥店                                                                                                                            
phase                                                       階段                                                                                                                            
picturesque                                                 如畫                                                                                                                            
pension                                                     養老金                                                                                                                         
pedestrian                                                  行人                                                                                                                            
peninsula                                                   半島                                                                                                                            
preliminary                                                 初步的                                                                                                                         
prejudice                                                   偏見                                                                                                                            
preface                                                     前言                                                                                                                            
prediction                                                  預言                                                                                                                            
predecessor                                                 前任                                                                                                                            
precision                                                   精確                                                                                                                            
precedent                                                   先例                                                                                                                            
photographic                                                照相的                                                                                                                         
precede                                                     先於                                                                                                                            
perception                                                  洞察力                                                                                                                         
posture                                                     姿勢                                                                                                                            
perseverance                                                毅力                                                                                                                            
persevere                                                   堅持                                                                                                                            
populate                                                    填充                                                                                                                            
persistence                                                 堅持                                                                                                                            
ponder                                                      思考                                                                                                                            
questionnaire                                               調查問卷                                                                                                                      
query                                                       詢問                                                                                                                            
quench                                                      淬火                                                                                                                            
quarrelsome                                                 好爭吵的                                                                                                                      
qualification(s)                                            資格）                                                                                                                         
repress                                                     抑                                                                                                                               
resolute                                                    堅決                                                                                                                            
resistant                                                   抵抗的                                                                                                                         
residential                                                 住宅                                                                                                                            
reservoir                                                   水庫                                                                                                                            
resemblance                                                 相似                                                                                                                            
respective                                                  各自                                                                                                                            
rental                                                      出租                                                                                                                            
renowned                                                    著名的                                                                                                                         
render                                                      使成為                                                                                                                         
renaissance                                                 再生                                                                                                                            
removal                                                     移動                                                                                                                            
remainder                                                   餘                                                                                                                               
relish                                                      津津有味                                                                                                                      
reliance                                                    依賴                                                                                                                            
relevant                                                    相關的                                                                                                                         
rhythmic                                                    有節奏的                                                                                                                      
ruby                                                        紅寶石                                                                                                                         
royalty                                                     版稅                                                                                                                            
rotation                                                    迴轉                                                                                                                            
rotate                                                      旋轉                                                                                                                            
rivalry                                                     對抗                                                                                                                            
ritual                                                      儀式                                                                                                                            
rite                                                        儀式                                                                                                                            
riot                                                        暴動                                                                                                                            
rigorous                                                    嚴格的                                                                                                                         
ridicule                                                    嘲笑                                                                                                                            
recommendation                                              推薦                                                                                                                            
rhetoric                                                    修辭                                                                                                                            
revival                                                     復興                                                                                                                            
revenue                                                     收入                                                                                                                            
revelation                                                  啟示                                                                                                                            
retrieve                                                    取回                                                                                                                            
retaliate                                                   報復                                                                                                                            
retail                                                      零售                                                                                                                            
restraint                                                   克制                                                                                                                            
restoration                                                 恢復                                                                                                                            
rash(1)                                                     皮疹(1)                                                                                                                         
reconcile                                                   調和                                                                                                                            
radiate                                                     輻射                                                                                                                            
radiation                                                   輻射                                                                                                                            
