Confucius                                                   孔子                                                                                                                            
lovely                                                      迷人的                                                                                                                         
local                                                       當地的                                                                                                                         
ladybug/ladybird                                            瓢蟲/瓢蟲                                                                                                                     
locate                                                      定位                                                                                                                            
link                                                        關聯                                                                                                                            
limit                                                       限制                                                                                                                            
library                                                     圖書館                                                                                                                         
lick                                                        舔                                                                                                                               
lawyer                                                      律師                                                                                                                            
liquid                                                      液體                                                                                                                            
lemonade                                                    檸檬汽水                                                                                                                      
lightning                                                   閃電                                                                                                                            
lonely                                                      孤獨                                                                                                                            
latest                                                      最新的                                                                                                                         
lone                                                        孤獨的                                                                                                                         
leopard                                                     豹                                                                                                                               
log                                                         日誌                                                                                                                            
length                                                      長度                                                                                                                            
lend                                                        借                                                                                                                               
listener                                                    傾聽者                                                                                                                         
loaf                                                        麵包                                                                                                                            
lose                                                        失去                                                                                                                            
loser                                                       失敗者                                                                                                                         
luck                                                        運氣                                                                                                                            
lettuce                                                     生菜                                                                                                                            
legal                                                       合法的                                                                                                                         
lantern                                                     燈籠                                                                                                                            
language                                                    語                                                                                                                               
leadership                                                  領導                                                                                                                            
magic                                                       魔法                                                                                                                            
manner                                                      方式                                                                                                                            
method                                                      方法                                                                                                                            
military                                                    軍隊                                                                                                                            
meeting                                                     會議                                                                                                                            
means                                                       方法                                                                                                                            
mine(2)                                                     我的(2)                                                                                                                         
measurable                                                  可衡量的                                                                                                                      
measure(1)(ment)                                            測量(1)(ment)                                                                                                                   
monster                                                     怪物                                                                                                                            
meaning                                                     意義                                                                                                                            
mark                                                        標記                                                                                                                            
million                                                     百萬                                                                                                                            
motion                                                      運動                                                                                                                            
melon                                                       瓜                                                                                                                               
mine(1)                                                     我的(1)                                                                                                                         
male                                                        男性                                                                                                                            
marriage                                                    婚姻                                                                                                                            
motorcycle                                                  摩托車                                                                                                                         
melody                                                      旋律                                                                                                                            
menu                                                        菜單                                                                                                                            
medicine                                                    藥物                                                                                                                            
mango                                                       芒果                                                                                                                            
member                                                      成員                                                                                                                            
mask                                                        面具                                                                                                                            
memory                                                      記憶                                                                                                                            
main                                                        主要的                                                                                                                         
message                                                     信息                                                                                                                            
movable                                                     活動                                                                                                                            
magazine                                                    雜誌                                                                                                                            
modern                                                      現代的                                                                                                                         
mule                                                        騾子                                                                                                                            
minus                                                       減                                                                                                                               
multiply                                                    乘                                                                                                                               
metal                                                       金屬                                                                                                                            
meter                                                       儀表                                                                                                                            
musician                                                    音樂家                                                                                                                         
museum                                                      博物館                                                                                                                         
model                                                       模型                                                                                                                            
mass                                                        大量的                                                                                                                         
mirror                                                      鏡子                                                                                                                            
meal                                                        一頓飯                                                                                                                         
match(2)                                                    比賽(2)                                                                                                                         
mate                                                        伴侶                                                                                                                            
mix                                                         混合                                                                                                                            
maintain                                                    維持                                                                                                                            
material(1)                                                 材料(1)                                                                                                                         
moth                                                        蛾                                                                                                                               
mat                                                         墊                                                                                                                               
magician                                                    魔術師                                                                                                                         
mosquito                                                    蚊子                                                                                                                            
nod                                                         點頭                                                                                                                            
niece                                                       侄女                                                                                                                            
needle                                                      針                                                                                                                               
nut                                                         堅果                                                                                                                            
neighbor                                                    鄰居                                                                                                                            
nest                                                        巢                                                                                                                               
noodle                                                      麵條                                                                                                                            
notebook                                                    筆記本                                                                                                                         
negative                                                    消極的                                                                                                                         
necklace                                                    項鍊                                                                                                                            
neither                                                     兩者都不                                                                                                                      
nephew                                                      外甥                                                                                                                            
northern                                                    北方                                                                                                                            
novel(2)                                                    小說(2)                                                                                                                         
natural                                                     自然                                                                                                                            
napkin                                                      餐巾                                                                                                                            
naughty                                                     淘氣                                                                                                                            
naked                                                       裸                                                                                                                               
nail(2)                                                     釘子(2)                                                                                                                         
nail(1)                                                     釘子(1)                                                                                                                         
nobody                                                      沒有人                                                                                                                         
national                                                    國民                                                                                                                            
nearby                                                      附近                                                                                                                            
nearly                                                      幾乎                                                                                                                            
none                                                        沒有任何                                                                                                                      
neat                                                        整潔的                                                                                                                         
novel(1)                                                    小說(1)                                                                                                                         
necessary                                                   必要的                                                                                                                         
narrow                                                      狹窄                                                                                                                            
net                                                         網                                                                                                                               
oven                                                        烤箱                                                                                                                            
owl                                                         貓頭鷹                                                                                                                         
omit                                                        忽略                                                                                                                            
organize                                                    組織                                                                                                                            
operate                                                     操作                                                                                                                            
organization                                                組織                                                                                                                            
owner                                                       所有者                                                                                                                         
onion                                                       洋蔥                                                                                                                            
ox                                                          牛                                                                                                                               
opinion                                                     觀點                                                                                                                            
offer                                                       提供                                                                                                                            
ordinary                                                    普通的                                                                                                                         
overseas                                                    海外                                                                                                                            
overpass                                                    立交橋                                                                                                                         
organ                                                       器官                                                                                                                            
official                                                    官方的                                                                                                                         
obey                                                        遵守                                                                                                                            
object(1)                                                   對象(1)                                                                                                                         
object(2)                                                   對象(2)                                                                                                                         
occur                                                       發生                                                                                                                            
powerful                                                    強大的                                                                                                                         
purse                                                       錢包                                                                                                                            
pardon                                                      赦免                                                                                                                            
prisoner                                                    囚犯                                                                                                                            
poison                                                      毒                                                                                                                               
panda                                                       熊貓                                                                                                                            
provide                                                     提供                                                                                                                            
partner                                                     夥伴                                                                                                                            
pan                                                         平底鍋                                                                                                                         
praise                                                      稱讚                                                                                                                            
papaya                                                      番木瓜                                                                                                                         
pizza                                                       比薩                                                                                                                            
particular                                                  特定                                                                                                                            
plain(2)                                                    普通(2)                                                                                                                         
planet                                                      行星                                                                                                                            
pray                                                        祈禱                                                                                                                            
parrot                                                      鸚鵡                                                                                                                            
plain(1)                                                    普通(1)                                                                                                                         
perfect                                                     完美的                                                                                                                         
present(1)                                                  禮物(1)                                                                                                                         
present(2)                                                  禮物(2)                                                                                                                         
penguin                                                     企鵝                                                                                                                            
present(3)                                                  禮物(3)                                                                                                                         
president                                                   總統                                                                                                                            
pile                                                        樁                                                                                                                               
press(1)                                                    按(1)                                                                                                                            
principle                                                   原則                                                                                                                            
pepper                                                      胡椒                                                                                                                            
press(2)                                                    按(2)                                                                                                                            
pigeon                                                      鴿子                                                                                                                            
per                                                         每                                                                                                                               
principal(2)                                                校長(2)                                                                                                                         
presence                                                    在場                                                                                                                            
period                                                      時期                                                                                                                            
picnic                                                      野餐                                                                                                                            
propose                                                     提出                                                                                                                            
pick                                                        挑選                                                                                                                            
phrase                                                      短語                                                                                                                            
photographer                                                攝影師                                                                                                                         
principal(1)                                                校長(1)                                                                                                                         
photograph/photo                                            照片/照片                                                                                                                     
personal                                                    個人的                                                                                                                         
pride                                                       自豪                                                                                                                            
prince                                                      王子                                                                                                                            
princess                                                    公主                                                                                                                            
pink                                                        粉色的                                                                                                                         
passenger                                                   乘客                                                                                                                            
proud                                                       自豪的                                                                                                                         
pronounce                                                   發音                                                                                                                            
paste                                                       粘貼                                                                                                                            
pat                                                         拍                                                                                                                               
prefer                                                      更喜歡                                                                                                                         
prison                                                      監獄                                                                                                                            
path                                                        小路                                                                                                                            
patient(1)                                                  病人(1)                                                                                                                         
patient(2)                                                  病人(2)                                                                                                                         
promise                                                     承諾                                                                                                                            
pipe                                                        管道                                                                                                                            
pattern                                                     圖案                                                                                                                            
pitch                                                       瀝青                                                                                                                            
peace                                                       和平                                                                                                                            
peaceful                                                    平靜的                                                                                                                         
peach                                                       桃                                                                                                                               
ping-pong/table_tennis                                      乒乓球/乒乓球                                                                                                               
pineapple                                                   菠蘿                                                                                                                            
peanut                                                      花生                                                                                                                            
pear                                                        梨                                                                                                                               
pin                                                         別針                                                                                                                            
printer                                                     打印機                                                                                                                         
puzzle                                                      謎                                                                                                                               
protect                                                     保護                                                                                                                            
pillow                                                      枕頭                                                                                                                            
platform                                                    平台                                                                                                                            
port                                                        港口                                                                                                                            
producer                                                    製作人                                                                                                                         
pleasant                                                    令人愉快的                                                                                                                   
pudding                                                     布丁                                                                                                                            
pose                                                        姿勢                                                                                                                            
puppy                                                       小狗                                                                                                                            
pain                                                        疼痛                                                                                                                            
produce                                                     生產                                                                                                                            
playful                                                     俏皮的                                                                                                                         
positive                                                    積極的                                                                                                                         
possibility                                                 可能性                                                                                                                         
pound(1)                                                    磅(1)                                                                                                                            
post(1)                                                     帖子(1)                                                                                                                         
project(2)                                                  項目(2)                                                                                                                         
post(2)                                                     帖子(2)                                                                                                                         
post(3)                                                     帖子(3)                                                                                                                         
postcard                                                    明信片                                                                                                                         
plate                                                       盤子                                                                                                                            
pack                                                        盒                                                                                                                               
pot                                                         鍋                                                                                                                               
project(1)                                                  項目(1)                                                                                                                         
package                                                     包裹                                                                                                                            
potato                                                      土豆                                                                                                                            
progress                                                    進步                                                                                                                            
punish(ment)                                                懲罰）                                                                                                                         
policy                                                      政策                                                                                                                            
polite                                                      有禮貌的                                                                                                                      
palm                                                        棕櫚                                                                                                                            
pumpkin                                                     南瓜                                                                                                                            
private                                                     私人的                                                                                                                         
poet                                                        詩人                                                                                                                            
poem                                                        詩                                                                                                                               
