AIDS/acquired_immune_deficiency_syndrome                    艾滋病/獲得性免疫缺陷綜合症                                                                                          
handwriting                                                 手寫                                                                                                                            
hasten                                                      趨                                                                                                                               
herd                                                        放牧                                                                                                                            
hesitation                                                  猶豫                                                                                                                            
highly                                                      高度                                                                                                                            
healthful                                                   健康的                                                                                                                         
homeland                                                    家園                                                                                                                            
honeymoon                                                   蜜月                                                                                                                            
honorable                                                   光榮的                                                                                                                         
headphone(s)                                                耳機）                                                                                                                         
hook                                                        鉤                                                                                                                               
hatred                                                      仇恨                                                                                                                            
haste                                                       匆忙                                                                                                                            
host(2)                                                     主機(2)                                                                                                                         
hopeful                                                     有希望的                                                                                                                      
horizon                                                     地平線                                                                                                                         
hose                                                        軟管                                                                                                                            
horrify                                                     驚嚇                                                                                                                            
immigrant                                                   移民                                                                                                                            
infect                                                      感染                                                                                                                            
immigrate                                                   移民                                                                                                                            
immigration                                                 移民                                                                                                                            
impact                                                      影響                                                                                                                            
imply                                                       意味著                                                                                                                         
impression                                                  印象                                                                                                                            
incident                                                    事件                                                                                                                            
including                                                   包含                                                                                                                            
indication                                                  適應症                                                                                                                         
industrialize                                               工業化                                                                                                                         
infant                                                      嬰兒                                                                                                                            
initial(1)                                                  初始(1)                                                                                                                         
imitation                                                   模仿                                                                                                                            
imitate                                                     模擬                                                                                                                            
imaginative                                                 富有想像力的                                                                                                                
imaginary                                                   假想                                                                                                                            
imaginable                                                  可以想像的                                                                                                                   
illustration                                                插圖                                                                                                                            
illustrate                                                  闡明                                                                                                                            
ignorant                                                    無知                                                                                                                            
idol                                                        偶像                                                                                                                            
idle                                                        閒置的                                                                                                                         
idiom                                                       成語                                                                                                                            
identify                                                    確認                                                                                                                            
identification/ID                                           身份/身份證                                                                                                                  
identical                                                   完全相同的                                                                                                                   
iceberg                                                     冰山                                                                                                                            
interruption                                                中斷                                                                                                                            
intend                                                      打算                                                                                                                            
intense                                                     激烈的                                                                                                                         
intensify                                                   強化                                                                                                                            
intensity                                                   強度                                                                                                                            
intensive                                                   密集的                                                                                                                         
intention                                                   意圖                                                                                                                            
interact                                                    相互作用                                                                                                                      
interaction                                                 相互作用                                                                                                                      
interfere                                                   干擾                                                                                                                            
intermediate                                                中間的                                                                                                                         
interpret                                                   解釋                                                                                                                            
inflation                                                   通貨膨脹                                                                                                                      
intimate                                                    親密的                                                                                                                         
intonation                                                  語調                                                                                                                            
invade                                                      入侵                                                                                                                            
invasion                                                    入侵                                                                                                                            
invention                                                   發明                                                                                                                            
invest(ment)                                                投資）                                                                                                                         
investigation                                               調查                                                                                                                            
involve(ment)                                               參與                                                                                                                            
isolate                                                     隔離                                                                                                                            
isolation                                                   隔離                                                                                                                            
itch                                                        癢                                                                                                                               
intelligence                                                智力                                                                                                                            
infection                                                   感染                                                                                                                            
influential                                                 有影響                                                                                                                         
information                                                 信息                                                                                                                            
informative                                                 翔實的                                                                                                                         
ingredient                                                  成分                                                                                                                            
initial(2)                                                  初始(2)                                                                                                                         
innocence                                                   純真                                                                                                                            
input                                                       輸入                                                                                                                            
insert                                                      插入                                                                                                                            
inspection                                                  檢查                                                                                                                            
inspiration                                                 靈感                                                                                                                            
inspire                                                     啟發                                                                                                                            
install                                                     安裝                                                                                                                            
instinct                                                    直覺                                                                                                                            
instruct                                                    指導                                                                                                                            
instructor                                                  講師                                                                                                                            
insult                                                      侮辱                                                                                                                            
insurance                                                   保險                                                                                                                            
intellectual                                                知識分子                                                                                                                      
intelligent                                                 聰明的                                                                                                                         
jealousy                                                    妒忌                                                                                                                            
junior                                                      初級                                                                                                                            
keen                                                        敏銳的                                                                                                                         
knuckle                                                     關節                                                                                                                            
leisurely                                                   悠閒                                                                                                                            
loyalty                                                     忠誠                                                                                                                            
lighten                                                     減輕                                                                                                                            
loan                                                        貸款                                                                                                                            
location                                                    地點                                                                                                                            
locker                                                      儲物櫃                                                                                                                         
laboratory/lab                                              實驗室/實驗室                                                                                                               
largely                                                     大部分                                                                                                                         
lately                                                      最近                                                                                                                            
legend                                                      傳奇                                                                                                                            
lecturer                                                    講師                                                                                                                            
launch                                                      發射                                                                                                                            
luxurious                                                   豪華                                                                                                                            
lunar                                                       月球                                                                                                                            
logic                                                       邏輯                                                                                                                            
lag                                                         落後                                                                                                                            
logical                                                     合乎邏輯的                                                                                                                   
lawful                                                      合法的                                                                                                                         
loyal                                                       忠誠                                                                                                                            
lecture                                                     演講                                                                                                                            
lousy                                                       糟糕                                                                                                                            
lead(2)                                                     鉛(2)                                                                                                                            
labor                                                       勞動                                                                                                                            
learning                                                    學習                                                                                                                            
learned                                                     學到了                                                                                                                         
lean(1)                                                     瘦(1)                                                                                                                            
lotion                                                      洗劑                                                                                                                            
lean(2)                                                     瘦(2)                                                                                                                            
luxury                                                      奢華                                                                                                                            
limitation                                                  局限性                                                                                                                         
literature                                                  文學                                                                                                                            
license                                                     執照                                                                                                                            
landslide/mudslide                                          滑坡/泥石流                                                                                                                  
liquor                                                      酒                                                                                                                               
literary                                                    文學的                                                                                                                         
landscape                                                   景觀                                                                                                                            
landmark                                                    地標                                                                                                                            
mercy                                                       憐憫                                                                                                                            
muddy                                                       渾                                                                                                                               
mischief                                                    惡作劇                                                                                                                         
misfortune                                                  不幸                                                                                                                            
mislead                                                     誤導                                                                                                                            
magnificent                                                 壯麗的                                                                                                                         
miserable                                                   悲慘的                                                                                                                         
mere                                                        僅僅是                                                                                                                         
modest                                                      謙虛的                                                                                                                         
modesty                                                     謙虛                                                                                                                            
mustache                                                    鬍子                                                                                                                            
minister                                                    部長                                                                                                                            
magnetic                                                    磁的                                                                                                                            
moderate                                                    緩和                                                                                                                            
madam/ma’am                                               女士/女士                                                                                                                     
messy                                                       凌亂                                                                                                                            
mild                                                        溫和的                                                                                                                         
misunderstand                                               誤解                                                                                                                            
microscope                                                  顯微鏡                                                                                                                         
manufacturer                                                製造商                                                                                                                         
manufacture                                                 生產                                                                                                                            
manual                                                      手動的                                                                                                                         
mineral                                                     礦物                                                                                                                            
mysterious                                                  神秘                                                                                                                            
mutual                                                      相互的                                                                                                                         
merit                                                       優點                                                                                                                            
marathon                                                    馬拉松                                                                                                                         
machinery                                                   機械                                                                                                                            
messenger                                                   信使                                                                                                                            
makeup(2)                                                   化妝(2)                                                                                                                         
margin                                                      利潤                                                                                                                            
minimum                                                     最低限度                                                                                                                      
ministry                                                    部                                                                                                                               
makeup(1)                                                   化妝(1)                                                                                                                         
maturity                                                    到期                                                                                                                            
motivation                                                  動機                                                                                                                            
motivate                                                    激勵                                                                                                                            
mostly                                                      大多                                                                                                                            
mountainous                                                 多山                                                                                                                            
murderer                                                    兇手                                                                                                                            
multiple                                                    多                                                                                                                               
measure(s)(2)                                               措施(2)                                                                                                                         
murmur                                                      雜音                                                                                                                            
moreover                                                    而且                                                                                                                            
mechanic                                                    機械                                                                                                                            
mechanical                                                  機械的                                                                                                                         
monument                                                    紀念碑                                                                                                                         
memorable                                                   難忘                                                                                                                            
maximum                                                     最大                                                                                                                            
mow                                                         刈                                                                                                                               
monthly                                                     每月                                                                                                                            
monitor                                                     監視器                                                                                                                         
memorial                                                    紀念館                                                                                                                         
nonsense                                                    廢話                                                                                                                            
numerous                                                    很多的                                                                                                                         
nearsighted                                                 近視的                                                                                                                         
nylon                                                       尼龍                                                                                                                            
nuclear                                                     核                                                                                                                               
nowadays                                                    如今                                                                                                                            
nursery                                                     苗圃                                                                                                                            
needy                                                       有需要的                                                                                                                      
neglect                                                     忽視                                                                                                                            
negotiate                                                   談判                                                                                                                            
nightmare                                                   惡夢                                                                                                                            
nationality                                                 國籍                                                                                                                            
noun                                                        名詞                                                                                                                            
namely                                                      即                                                                                                                               
nevertheless/nonetheless                                    儘管如此/儘管如此                                                                                                         
overthrow                                                   推翻                                                                                                                            
occasional                                                  偶然                                                                                                                            
overcome                                                    克服                                                                                                                            
obtain                                                      獲得                                                                                                                            
oppose                                                      反對                                                                                                                            
objection                                                   異議                                                                                                                            
obstacle                                                    障礙                                                                                                                            
objective(1)                                                目標(1)                                                                                                                         
obedient                                                    聽話                                                                                                                            
overlook                                                    俯瞰                                                                                                                            
observation                                                 觀察                                                                                                                            
overnight                                                   過夜                                                                                                                            
outstanding                                                 傑出的                                                                                                                         
objective(2)                                                目標(2)                                                                                                                         
overtake                                                    超過                                                                                                                            
oxygen                                                      氧                                                                                                                               
obedience                                                   服從                                                                                                                            
oval                                                        橢圓形                                                                                                                         
occupy                                                      佔據                                                                                                                            
oral                                                        口服                                                                                                                            
orbit                                                       軌道                                                                                                                            
operation                                                   手術                                                                                                                            
orchestra                                                   樂隊                                                                                                                            
opera                                                       歌劇                                                                                                                            
organic                                                     有機的                                                                                                                         
otherwise                                                   否則                                                                                                                            
outcome                                                     結果                                                                                                                            
occupation                                                  職業                                                                                                                            
offend                                                      得罪                                                                                                                            
offense                                                     罪行                                                                                                                            
offensive                                                   進攻                                                                                                                            
pasta                                                       意大利面                                                                                                                      
p.m./pm/P.M./PM                                             下午/下午/下午/下午                                                                                                       
percentage                                                  百分比                                                                                                                         
perfection                                                  完美                                                                                                                            
