AI/artificial_intelligence                                  人工智能/人工智能                                                                                                         
lottery                                                     彩票                                                                                                                            
lumber                                                      木材                                                                                                                            
lump                                                        塊                                                                                                                               
lifelong                                                    終身                                                                                                                            
lad                                                         小伙子                                                                                                                         
lame                                                        瘸                                                                                                                               
landlady                                                    房東                                                                                                                            
landlord                                                    房東                                                                                                                            
laser                                                       激光                                                                                                                            
latitude                                                    緯度                                                                                                                            
lawmaker                                                    議員                                                                                                                            
league                                                      聯盟                                                                                                                            
likelihood                                                  可能性                                                                                                                         
legislation                                                 立法                                                                                                                            
lessen                                                      減少                                                                                                                            
lest                                                        免得                                                                                                                            
lieutenant                                                  中尉                                                                                                                            
layer                                                       層                                                                                                                               
mortal                                                      凡人                                                                                                                            
monstrous                                                   滔天                                                                                                                            
monarch                                                     君主                                                                                                                            
molecule                                                    分子                                                                                                                            
mold(2)                                                     模具(2)                                                                                                                         
modify                                                      調整                                                                                                                            
modernize                                                   現代化                                                                                                                         
mode                                                        模式                                                                                                                            
mock                                                        嘲笑                                                                                                                            
moan                                                        呻吟                                                                                                                            
miser                                                       吝嗇鬼                                                                                                                         
mint                                                        薄荷                                                                                                                            
minimal                                                     最小的                                                                                                                         
mingle                                                      交融                                                                                                                            
milestone                                                   里程碑                                                                                                                         
moss                                                        苔蘚                                                                                                                            
motherhood                                                  母性                                                                                                                            
motive                                                      動機                                                                                                                            
mound                                                       塚                                                                                                                               
mount                                                       山                                                                                                                               
mourn                                                       哀悼                                                                                                                            
mower                                                       割草機                                                                                                                         
mumble                                                      咕噥                                                                                                                            
muscular                                                    肌肉發達的                                                                                                                   
muse                                                        沉思                                                                                                                            
mustard                                                     芥末                                                                                                                            
mutter                                                      喃喃自語                                                                                                                      
mutton                                                      羊肉                                                                                                                            
myth                                                        神話                                                                                                                            
mistress                                                    情婦                                                                                                                            
migrant                                                     移民                                                                                                                            
magnify                                                     放大                                                                                                                            
maiden                                                      少女                                                                                                                            
mainland                                                    大陸                                                                                                                            
mainstream                                                  主流                                                                                                                            
maintenance                                                 維護                                                                                                                            
majestic                                                    雄偉                                                                                                                            
majesty                                                     威嚴                                                                                                                            
mammal                                                      哺乳動物                                                                                                                      
manifest                                                    顯現                                                                                                                            
mansion                                                     大廈                                                                                                                            
maple                                                       楓                                                                                                                               
marginal                                                    邊緣                                                                                                                            
marine                                                      海洋                                                                                                                            
marshal                                                     元帥                                                                                                                            
martial                                                     武術                                                                                                                            
masculine                                                   男性                                                                                                                            
midst                                                       中間                                                                                                                            
mermaid                                                     美人魚                                                                                                                         
menace                                                      威脅                                                                                                                            
mediate                                                     調解                                                                                                                            
mileage                                                     里程                                                                                                                            
mechanics                                                   力學                                                                                                                            
mayonnaise                                                  蛋黃醬                                                                                                                         
masterpiece                                                 傑作                                                                                                                            
massive                                                     大量的                                                                                                                         
massage                                                     按摩                                                                                                                            
mash                                                        糊狀物                                                                                                                         
marvel                                                      奇蹟                                                                                                                            
meantime                                                    與此同時                                                                                                                      
nonviolent                                                  非暴力的                                                                                                                      
nostril                                                     鼻孔                                                                                                                            
notable                                                     值得注意的                                                                                                                   
noticeable                                                  顯                                                                                                                               
notify                                                      通知                                                                                                                            
notion                                                      概念                                                                                                                            
nude                                                        裸體                                                                                                                            
nucleus                                                     核                                                                                                                               
novice                                                      新手                                                                                                                            
nowhere                                                     無處                                                                                                                            
navigate                                                    導航                                                                                                                            
nag                                                         嘮叨                                                                                                                            
naive                                                       幼稚的                                                                                                                         
nasty                                                       討厭                                                                                                                            
nominate                                                    提名                                                                                                                            
nightingale                                                 夜鶯                                                                                                                            
newscast                                                    新聞廣播                                                                                                                      
nibble                                                      蠶食                                                                                                                            
nickel                                                      鎳                                                                                                                               
nonetheless                                                 儘管如此                                                                                                                      
oatmeal                                                     麥片                                                                                                                            
ornament                                                    裝飾品                                                                                                                         
oblong                                                      長方形                                                                                                                         
oriental                                                    東方的                                                                                                                         
orient                                                      東方                                                                                                                            
oar                                                         槳                                                                                                                               
oasis                                                       綠洲                                                                                                                            
organizer                                                   組織者                                                                                                                         
oath                                                        誓言                                                                                                                            
orchard                                                     果園                                                                                                                            
optimism                                                    樂觀                                                                                                                            
opponent                                                    對手                                                                                                                            
olive                                                       橄欖                                                                                                                            
odor                                                        氣味                                                                                                                            
odds                                                        賠率                                                                                                                            
octopus                                                     章魚                                                                                                                            
occurrence                                                  發生                                                                                                                            
obstinate                                                   頑固                                                                                                                            
observer                                                    觀察者                                                                                                                         
ostrich                                                     鴕鳥                                                                                                                            
ozone                                                       臭氧                                                                                                                            
oyster                                                      牡蠣                                                                                                                            
overwork                                                    過勞                                                                                                                            
overwhelm                                                   壓倒                                                                                                                            
oversleep                                                   睡過頭                                                                                                                         
overhear                                                    無意中聽到                                                                                                                   
overflow                                                    溢出                                                                                                                            
overeat                                                     暴飲暴食                                                                                                                      
overdo                                                      過度                                                                                                                            
overall                                                     全面的                                                                                                                         
outward(s)                                                  向外）                                                                                                                         
outward                                                     向外                                                                                                                            
outskirts                                                   郊區                                                                                                                            
outsider                                                    局外人                                                                                                                         
output                                                      輸出                                                                                                                            
outgoing                                                    外向的                                                                                                                         
outdo                                                       超越                                                                                                                            
ounce                                                       盎司                                                                                                                            
orphanage                                                   孤兒院                                                                                                                         
prospect                                                    展望                                                                                                                            
purchase                                                    購買                                                                                                                            
playwright                                                  劇作家                                                                                                                         
plea                                                        懇求                                                                                                                            
penetrate                                                   穿透                                                                                                                            
peg                                                         掛鉤                                                                                                                            
peek                                                        窺視                                                                                                                            
peddler                                                     小販                                                                                                                            
prune(2)                                                    修剪(2)                                                                                                                         
peck                                                        啄                                                                                                                               
peasant                                                     農民                                                                                                                            
peacock                                                     孔雀                                                                                                                            
plantation                                                  種植園                                                                                                                         
patron                                                      贊助人                                                                                                                         
patrol                                                      巡邏                                                                                                                            
patriot                                                     愛國者                                                                                                                         
patent                                                      專利                                                                                                                            
patch                                                       修補                                                                                                                            
pastry                                                      糕點                                                                                                                            
plead                                                       懇求                                                                                                                            
pastime                                                     消遣                                                                                                                            
pledge                                                      保證                                                                                                                            
permissible                                                 允許的                                                                                                                         
personnel                                                   人員                                                                                                                            
pessimism                                                   悲觀主義                                                                                                                      
puff                                                        噗                                                                                                                               
pier                                                        碼頭                                                                                                                            
pilgrim                                                     朝聖                                                                                                                            
pillar                                                      支柱                                                                                                                            
pimple                                                      疙瘩                                                                                                                            
persist                                                     堅持                                                                                                                            
pinch                                                       捏                                                                                                                               
pulse                                                       脈衝                                                                                                                            
passionate                                                  熱情的                                                                                                                         
publicize                                                   宣傳                                                                                                                            
perish                                                      淪                                                                                                                               
piss                                                        小便                                                                                                                            
pistol                                                      手槍                                                                                                                            
peril                                                       危險                                                                                                                            
performer                                                   演員                                                                                                                            
perch                                                       棲息                                                                                                                            
plague                                                      瘟疫                                                                                                                            
perceive                                                    感知                                                                                                                            
prick                                                       刺                                                                                                                               
prairie                                                     草原                                                                                                                            
preach                                                      宣講                                                                                                                            
precaution                                                  預防                                                                                                                            
preference                                                  偏愛                                                                                                                            
prehistoric                                                 史前                                                                                                                            
prevail                                                     佔上風                                                                                                                         
preview                                                     預習                                                                                                                            
prey                                                        獵物                                                                                                                            
pyramid                                                     金字塔                                                                                                                         
priceless                                                   無價                                                                                                                            
poultry                                                     家禽                                                                                                                            
prior                                                       事先的                                                                                                                         
priority                                                    優先                                                                                                                            
procession                                                  遊行                                                                                                                            
profile                                                     輪廓                                                                                                                            
prolong                                                     延長                                                                                                                            
prop                                                        支柱                                                                                                                            
prophet                                                     預言家                                                                                                                         
proportion                                                  部分                                                                                                                            
province                                                    省                                                                                                                               
poetic                                                      詩意的                                                                                                                         
partly                                                      部分地                                                                                                                         
particle                                                    粒子                                                                                                                            
participant                                                 參與者                                                                                                                         
plow                                                        犁                                                                                                                               
parlor                                                      客廳                                                                                                                            
pluck                                                       採摘                                                                                                                            
plunge                                                      暴跌                                                                                                                            
prune(1)                                                    修剪(1)                                                                                                                         
parallel                                                    平行                                                                                                                            
pocketbook                                                  錢包                                                                                                                            
poke                                                        戳                                                                                                                               
paradox                                                     悖論                                                                                                                            
polar                                                       極性                                                                                                                            
pane                                                        窗格                                                                                                                            
paddle                                                      槳                                                                                                                               
packet                                                      包                                                                                                                               
porch                                                       門廊                                                                                                                            
potential                                                   潛在的                                                                                                                         
pacific                                                     太平洋的                                                                                                                      
quest                                                       尋求                                                                                                                            
quart                                                       夸脫                                                                                                                            
quiver                                                      顫動                                                                                                                            
quack                                                       嘎嘎                                                                                                                            
qualify                                                     合格                                                                                                                            
rustle                                                      沙沙                                                                                                                            
reckless                                                    魯莽                                                                                                                            
rumble                                                      隆隆                                                                                                                            
rib                                                         肋骨                                                                                                                            
reel                                                        捲軸                                                                                                                            
rugged                                                      崎嶇                                                                                                                            
rack(1)                                                     機架(1)                                                                                                                         
rack(2)                                                     機架(2)                                                                                                                         
referee/umpire                                              裁判員                                                                                                                         
